CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,n
09,015,0001,145A,181
09,015,0001,1002,143
09,015,0001,1356,124
09,015,0001,1110,59
09,015,0001,1214,58
09,015,0001,1375,53
09,015,0001,1464,45
09,015,0001,0998,41
09,015,0001,1106,41
09,015,0001,1445,34
09,015,0001,1017,28
09,015,0001,1360,27
09,015,0001,1093,26
19,039,0001,2006,21
09,015,0001,0729,15
09,014,0001,0011,8
09,015,0001,138A,7
09,015,0001,1479,7
19,039,0001,2010,6
19,039,0001,2082,5
09,015,0001,1089,4
09,015,0001,1341,4
09,015,0001,1430,4
09,016,0001,1207,4
09,015,0001,1125,3
09,015,0001,1182,3
09,015,0001,120A,3
09,016,0001,1226,3
09,015,0001,0610,2
09,015,0001,0822,2
09,015,0001,1178,2
02,004,0001,3018,1
09,010,0001,2288,1
09,014,0001,005A,1
09,014,0001,012A,1
09,014,0001,0401,1
09,014,0001,0806,1
09,015,0001,0343,1
09,015,0001,056A,1
09,015,0001,0714,1
09,015,0001,0803,1
09,015,0001,0856,1
09,015,0001,1229,1
09,015,0001,1322,1
09,016,0001,0798,1
19,026,0001,1476,1
19,039,0001,2078,1
19,039,0001,2133,1
19,039,0001,2167,1
