term,estimate
(Intercept),67.22620538487898
m2,-13.722708029544634
crmairnetwork_asesores_inmob,-2.6913652519201996
crmbienesraiceslomelin,13.524514438969385
crmbuscatuhogarmexico,15.49323692680134
crmhoum,3.1758016139769683
crmmetros_cuadrados_expertos,-7.009088001828934
crmnocnok,-23.833217474203217
crmother,0.3062789710372019
crmrent_a_house_cdmx,-0.025956521588982092
crmzona_ryg,9.392622801239723
is_loft,2.8820578383180693
amenities,0.34290481247958693
bathrooms,0.6117270403433763
cellars,-0.49889279264595315
parking_lots,9.345273859851796
num_bedrooms,-4.970134716293585
desc_has_roof,5.7903875711935155
main_has_new,3.651951338652252
desc_has_luxury,2.9677203890903607
deluxe_locality,7.182470255247947
pobtot,-0.6080155352420876
vivpar_hab_ratio,-7.3766158342736015
p18a24a_ratio,-20.77515991660124
