var,rel.inf
crm,22.799574906436682
m2,22.51424505370506
desc_has_roof,4.148447607962204
parking_lots,4.045039054591396
since_days_value,3.9024178548028017
p_18a24_ratio,3.818831655953266
num_bedrooms,2.7993483518054076
amenities,2.376139388174991
vivpar_hab_ratio,2.2045609879794474
graproes,2.1872187174201754
sentiment_description,1.9795901743354496
emotion_descr,1.9606081984537813
p18a24a_ratio,1.8417094303410013
pobhog_ratio,1.6110831596522364
emotion_main_text,1.3340946210209825
pafil_ipriv_ratio,1.260086238654392
pobtot,1.2027365167468687
vph_sincint_ratio,1.0634202597184648
pnacent_ratio,1.0481338847676613
vph_autom_ratio,1.0285728896066224
tothog_ratio,1.0050099982982945
bathrooms,0.9986465969111998
locality,0.9876645142659646
p12ym_casa_ratio,0.9809601416542799
prom_ocup,0.9378356623810157
p12ym_solt_ratio,0.8495864931201711
desc_has_elevator,0.8041055436964019
pea_ratio,0.79114284862122
prom_hnv,0.7891501076702452
pocupada_ratio,0.7023032176920965
tvivhab_ratio,0.6818157574035699
desc_has_centric,0.6683589040145534
main_has_roof,0.6666597781645208
tvivpar_ratio,0.6559142951799581
pnacoe_ratio,0.6294691031115953
desc_has_secure,0.6005561699138401
vivtot_ratio,0.5877759732608908
pres2015_ratio,0.5022845467131466
desc_has_luxury,0.4857572610880607
presoe15_ratio,0.27079909009198777
main_has_new,0.16239675616958582
cellars,0.11594828844851414
is_loft,0
main_has_tecmty,0
desc_has_gym,0
sentiment_main_text,0
grado_de_rezago_social,0
